"","symbol","date","open","high","low","close","volume","adjusted"
"288","AMZN",2020-10-16,3363.22998,3399.659912,3160,3272.709961,6474400,3272.709961
"289","AMZN",2020-10-19,3299.610107,3329,3192.73999,3207.209961,5223600,3207.209961
"290","AMZN",2020-10-20,3222.280029,3266,3192.01001,3217.01001,4509700,3217.01001
"291","AMZN",2020-10-21,3212.5,3233.879883,3160,3184.939941,4592700,3184.939941
"292","AMZN",2020-10-22,3189.870117,3198.75,3121.939941,3176.399902,4212000,3176.399902
"293","AMZN",2020-10-23,3191,3205.330078,3140,3204.399902,3466700,3204.399902
"294","AMZN",2020-10-26,3198.73999,3282.97998,3153.300049,3207.040039,5901200,3207.040039
"295","AMZN",2020-10-27,3224.939941,3291.659912,3211.300049,3286.330078,4291000,3286.330078
"296","AMZN",2020-10-28,3249.300049,3264.02002,3162.469971,3162.780029,5588300,3162.780029
"297","AMZN",2020-10-29,3201.27002,3257.25,3164,3211.01001,6596500,3211.01001
"298","AMZN",2020-10-30,3157.75,3167,3019,3036.149902,8386400,3036.149902
"299","AMZN",2020-11-02,3061.73999,3079.709961,2950.120117,3004.47998,7257400,3004.47998
"300","AMZN",2020-11-03,3018.530029,3074.899902,2980.97998,3048.409912,4897900,3048.409912
"301","AMZN",2020-11-04,3159.98999,3244.850098,3139.72998,3241.159912,6839000,3241.159912
"302","AMZN",2020-11-05,3319.969971,3366.800049,3288.879883,3322,5789300,3322
"303","AMZN",2020-11-06,3304.639893,3322,3232,3311.370117,4647300,3311.370117
"304","AMZN",2020-11-09,3231.030029,3289,3112.110107,3143.73999,7190400,3143.73999
"305","AMZN",2020-11-10,3095.02002,3114,3019.47998,3035.02002,6591000,3035.02002
